trace prescaler 10
trace trig iq > 5.000000 10
iq speed set_speed unknown
0.326385 0.077239 10.000000 0.000000
0.344024 -0.031463 10.000000 0.000000
0.397888 -0.042907 10.000000 0.000000
0.354873 -0.008575 10.000000 0.000000
0.342651 -0.034332 10.000000 0.000000
0.369171 -0.045776 10.000000 0.000000
0.328399 0.040054 10.000000 0.000000
0.383392 -0.031463 10.000000 0.000000
0.382003 0.071517 10.000000 0.000000
0.368621 -0.037185 10.000000 0.000000
8.901123 0.045776 10.000000 0.000000
46.257934 0.031463 10.000000 0.000000
49.826324 0.145904 10.000000 0.000000
50.616867 0.226013 10.000000 0.000000
51.421676 0.331878 10.000000 0.000000
51.458175 0.294677 10.000000 0.000000
51.044265 0.257492 10.000000 0.000000
50.744506 0.257492 10.000000 0.000000
50.939636 0.185958 10.000000 0.000000
51.085403 0.111572 10.000000 0.000000
51.124496 0.077239 10.000000 0.000000
50.970809 0.000000 10.000000 0.000000
50.994567 -0.077239 10.000000 0.000000
51.059799 -0.002853 10.000000 0.000000
51.002288 0.000000 10.000000 0.000000
51.010513 0.005722 10.000000 0.000000
51.058883 0.037185 10.000000 0.000000
51.051666 0.000000 10.000000 0.000000
51.027969 0.040054 10.000000 0.000000
51.005065 -0.037185 10.000000 0.000000
51.065078 0.040054 10.000000 0.000000
51.019226 -0.071517 10.000000 0.000000
50.994369 0.074386 10.000000 0.000000
50.994979 -0.037185 10.000000 0.000000
51.024627 0.008575 10.000000 0.000000
50.937011 -0.005722 10.000000 0.000000
51.081100 -0.077239 10.000000 0.000000
51.065246 -0.077239 10.000000 0.000000
51.020095 -0.002853 10.000000 0.000000
50.970794 -0.037185 10.000000 0.000000
51.009063 0.005722 10.000000 0.000000
51.036270 0.000000 10.000000 0.000000
50.971450 0.000000 10.000000 0.000000
51.017944 -0.031463 10.000000 0.000000
51.057617 -0.037185 10.000000 0.000000
51.007354 -0.045776 10.000000 0.000000
50.970520 -0.037185 10.000000 0.000000
51.027816 0.040054 10.000000 0.000000
50.965652 -0.068664 10.000000 0.000000
50.947311 0.042907 10.000000 0.000000
50.938278 -0.008575 10.000000 0.000000
51.019515 -0.008575 10.000000 0.000000
50.995330 0.040054 10.000000 0.000000
51.059341 -0.074386 10.000000 0.000000
50.994247 -0.037185 10.000000 0.000000
50.953903 0.082962 10.000000 0.000000
51.018630 0.040054 10.000000 0.000000
51.067184 -0.031463 10.000000 0.000000
51.007995 0.005722 10.000000 0.000000
51.008331 -0.002853 10.000000 0.000000
50.968704 0.000000 10.000000 0.000000
50.966629 0.005722 10.000000 0.000000
51.068405 -0.037185 10.000000 0.000000
50.969100 0.005722 10.000000 0.000000
51.010498 0.034332 10.000000 0.000000
50.984252 -0.040054 10.000000 0.000000
50.979202 -0.005722 10.000000 0.000000
51.067199 0.040054 10.000000 0.000000
51.025344 0.031463 10.000000 0.000000
50.906082 -0.037185 10.000000 0.000000
50.970809 0.040054 10.000000 0.000000
51.059616 0.037185 10.000000 0.000000
51.067550 0.000000 10.000000 0.000000
50.927108 -0.071517 10.000000 0.000000
50.941986 0.037185 10.000000 0.000000
51.041030 0.031463 10.000000 0.000000
50.996032 -0.005722 10.000000 0.000000
51.018920 -0.005722 10.000000 0.000000
50.942611 -0.037185 10.000000 0.000000
50.968994 -0.034332 10.000000 0.000000
50.929519 0.037185 10.000000 0.000000
51.051712 0.005722 10.000000 0.000000
50.967498 -0.143051 10.000000 0.000000
51.035522 -0.034332 10.000000 0.000000
50.962860 0.040054 10.000000 0.000000
51.027221 0.042907 10.000000 0.000000
