trace prescaler 10
trace trig iq > 5.000000 10
iq speed set_speed unknown
51.002014 -0.005722 10.000000 0.000000
51.002929 0.000000 10.000000 0.000000
50.995422 0.005722 10.000000 0.000000
51.011230 -0.040054 10.000000 0.000000
50.987380 0.000000 10.000000 0.000000
51.043014 0.042907 10.000000 0.000000
51.034378 -0.040054 10.000000 0.000000
50.987380 0.037185 10.000000 0.000000
51.003890 -0.005722 10.000000 0.000000
51.011352 -0.040054 10.000000 0.000000
50.930709 0.005722 10.000000 0.000000
51.079162 0.040054 10.000000 0.000000
50.969314 0.042907 10.000000 0.000000
51.068252 -0.040054 10.000000 0.000000
50.932876 -0.037185 10.000000 0.000000
51.002593 -0.037185 10.000000 0.000000
50.979019 0.034332 10.000000 0.000000
51.006210 -0.037185 10.000000 0.000000
50.987335 -0.108718 10.000000 0.000000
51.003219 0.000000 10.000000 0.000000
50.981842 -0.077239 10.000000 0.000000
51.057907 0.000000 10.000000 0.000000
50.938659 0.000000 10.000000 0.000000
50.954238 -0.002853 10.000000 0.000000
50.969100 -0.037185 10.000000 0.000000
51.033645 0.071517 10.000000 0.000000
50.899490 0.074386 10.000000 0.000000
51.050018 -0.031463 10.000000 0.000000
51.052413 0.040054 10.000000 0.000000
50.979843 0.102996 10.000000 0.000000
50.930709 -0.002853 10.000000 0.000000
51.021072 0.000000 10.000000 0.000000
51.140136 0.074386 10.000000 0.000000
50.993362 0.037185 10.000000 0.000000
50.929595 -0.005722 10.000000 0.000000
51.083465 0.077239 10.000000 0.000000
50.986968 -0.037185 10.000000 0.000000
51.039459 0.037185 10.000000 0.000000
51.052719 0.005722 10.000000 0.000000
51.002227 0.074386 10.000000 0.000000
50.960235 0.005722 10.000000 0.000000
51.083801 -0.037185 10.000000 0.000000
51.124496 -0.045776 10.000000 0.000000
50.987304 0.002853 10.000000 0.000000
51.069473 0.000000 10.000000 0.000000
50.995208 -0.037185 10.000000 0.000000
50.962295 -0.025741 10.000000 0.000000
50.889587 0.005722 10.000000 0.000000
50.906524 0.000000 10.000000 0.000000
51.066925 0.034332 10.000000 0.000000
50.987045 0.000000 10.000000 0.000000
50.943374 -0.048629 10.000000 0.000000
51.072814 0.005722 10.000000 0.000000
50.979095 0.005722 10.000000 0.000000
51.043960 0.000000 10.000000 0.000000
51.018478 0.000000 10.000000 0.000000
51.009017 -0.040054 10.000000 0.000000
50.996551 -0.108718 10.000000 0.000000
51.081863 0.040054 10.000000 0.000000
51.018844 -0.037185 10.000000 0.000000
50.995910 0.074386 10.000000 0.000000
51.026351 0.045776 10.000000 0.000000
51.003189 -0.008575 10.000000 0.000000
51.025619 0.031463 10.000000 0.000000
50.930419 0.000000 10.000000 0.000000
51.076736 0.002853 10.000000 0.000000
51.052185 0.000000 10.000000 0.000000
50.906097 -0.037185 10.000000 0.000000
51.059951 0.000000 10.000000 0.000000
50.976119 -0.037185 10.000000 0.000000
50.963531 -0.077239 10.000000 0.000000
51.027175 0.040054 10.000000 0.000000
51.028320 -0.077239 10.000000 0.000000
51.017517 0.077239 10.000000 0.000000
50.962661 0.000000 10.000000 0.000000
51.044067 0.000000 10.000000 0.000000
51.009094 -0.002853 10.000000 0.000000
50.995590 -0.005722 10.000000 0.000000
51.024658 -0.077239 10.000000 0.000000
51.058456 0.005722 10.000000 0.000000
50.996032 0.034332 10.000000 0.000000
51.036224 -0.034332 10.000000 0.000000
50.986694 0.000000 10.000000 0.000000
51.058120 -0.005722 10.000000 0.000000
50.963272 -0.077239 10.000000 0.000000
50.946212 0.037185 10.000000 0.000000
51.038055 0.000000 10.000000 0.000000
51.036270 -0.005722 10.000000 0.000000
50.986251 0.040054 10.000000 0.000000
51.017730 -0.034332 10.000000 0.000000
50.959854 -0.048629 10.000000 0.000000
51.075515 -0.037185 10.000000 0.000000
51.002426 -0.037185 10.000000 0.000000
